Timestamp,Watts_Total,Watts_R,Watts_Y,Watts_B,VAR_Total,VAR_R,VAR_Y,VAR_B,True_PF_Avg,True_PF_R,True_PF_Y,True_PF_B,VA_Total,VA_R,VA_Y,VA_B,VLL_Avg,V_RY,V_YB,V_BR,VLN_Avg,V_R,V_Y,V_B,I_Total,I_R,I_Y,I_B,Frequency_Hz,Wh_Received,VAh_Received,VARh_Ind_Received,VARh_Cap_Received,Wh_Delivered,VAh_Delivered,VARh_Ind_Delivered,VARh_Cap_Delivered,PF_Avg_Received,Amps_Hour_Received,PF_Avg_Delivered,Amps_Hour_Delivered,Neutral_I,V_R_Harmonic,V_Y_Harmonic,V_B_Harmonic,I_R_Harmonic,I_Y_Harmonic,I_B_Harmonic,Rising_Demand,Max_Demand,Rising_Demand_Delivered,Displacement_PF_R,Max_Demand_Delivered,Displacement_PF_B,RPM,Load_Hours_Received,Load_Hours_Delivered,Num_Interruptions,MD_Occurrence_Time,V_R_Phase_Angle,V_Y_Phase_Angle,V_B_Phase_Angle,I_R_Phase_Angle,I_Y_Phase_Angle,I_B_Phase_Angle,V_Unbal_R,V_Unbal_Y,V_Unbal_B,I_Unbal_R,I_Unbal_Y,I_Unbal_B,Analog_Input_1,Analog_Input_2,VLL_Max,VLL_Min,VLN_Max,VLN_Min,Amps_Max,Amps_Min,Frequency_Max,Frequency_Min,Watts_Max,Watts_Min,VAR_Max,VAR_Min,VA_Max,VA_Min,PF_Max,PF_Min,V_R_THD_Pct,V_Y_THD_Pct,V_B_THD_Pct,I_R_THD_Pct,I_Y_THD_Pct,I_B_THD_Pct,K_Factor_V_R,K_Factor_V_Y,K_Factor_V_B,K_Factor_I_R,K_Factor_I_Y,K_Factor_I_B,PiTempC,PiCpuPct,PiMemPct,PiDiskPct,PiUptimeHrs,PiThrottled,PiDiskFull
2026-05-19 16:35:19,123510.3359,47684.2656,39459.0859,35828.0078,-23183.4043,-4728.6357,-12692.3359,-6344.1948,0.9646,0.9851,0.9379,0.9684,122562.1562,46923.7695,41943.4375,36340.8398,420.3466,422.2484,419.7728,418.9112,242.6458,243.177,243.358,241.3894,166.1248,193.8707,159.7336,143.8816,49.9913,82950.875,83345.4375,151.689,-5532.9409,0,0,0,0,0.9953,118.2016,0,0,29.5945,1.0403,1.1598,1.1632,10.3064,14.9189,15.1153,0,0,0.999,-0.9974,0.9951,0.999,1499.8258,186122240,0,0,0,0,237.1652,117.48,5.847,-8.725,4.8246,-0.212,-0.2737,0.495,-18.7435,4.2792,14.2537,0,0,422.7106,235.3525,250.703,219.3341,284.4715,0.0108,50.1582,49.3482,188810.375,16.7429,-29932.0352,-0.0259,188838.8125,17.2245,0.999,-0.8164,1.0994,1.2385,1.3527,10.071,15.263,14.4661,1.0007,1.0043,1.0026,1.5405,1.8692,1.9118,,,,,,,
2026-05-19 16:37:40,121690.8906,48134.9297,41253.5234,34323.0195,-18785.4316,-2172.5889,-11315.54,-4253.5908,0.975,0.9909,0.9453,0.9685,126884.6641,48485.543,43347.5117,35059.3008,419.8002,421.6265,419.335,418.431,242.3527,242.8796,243.0737,241.1185,175.947,204.5256,181.4021,149.1094,49.9753,87665.0547,88089.2266,186.0667,-5946.7573,0,0,0,0,0.9952,124.8361,0,0,0.0,0.9706,1.1614,1.1685,12.1371,16.8166,17.4765,0,0,0.9878,0.999,0.9606,0.9911,1499.4722,195362816,0,0,0,0,245.5143,120.6814,-2.5625,-14.1676,-7.0619,-0.1272,-0.2459,0.3853,-14.9601,-2.305,16.4109,0,0,422.7822,235.3525,250.703,219.3341,284.4715,0.0108,50.1582,49.3482,188810.375,16.7429,-29932.0352,-0.0259,188838.8125,17.2245,0.999,-0.8164,1.2813,1.2862,1.3112,10.4854,14.2077,15.2647,1.0038,1.0043,1.0041,1.4594,3.9038,1.9623,,,,,,,
2026-05-19 16:40:01,150384.2031,56557.6992,51221.1094,43025.2422,7271.2046,6654.9053,-2504.313,3610.8931,-0.9926,-0.9898,0.9966,-0.9902,151160.1094,57482.7227,49913.9062,41665.5938,419.6964,421.5041,419.1264,418.4434,242.3153,242.811,242.9895,241.1072,202.8459,228.1322,206.3535,173.0302,49.9224,92795.0312,93274.8438,717.6363,-6041.8071,0,0,0,0,0.9949,132.0719,0,0,0.0,1.1326,0.8201,1.3068,6.25,9.4323,10.2147,0,0,0.999,-0.9944,0.9969,-0.9973,1497.5674,204603392,0,0,0,0,241.8409,120.2331,5.6127,-4.7223,4.3519,-0.1489,-0.2506,0.3953,-14.1616,-0.8634,14.5304,0,0,422.7822,235.3525,250.703,219.3341,284.4715,0.0108,50.1582,49.3482,188810.375,16.7429,32838.25,-0.0259,188838.8125,17.2245,0.999,-0.8164,1.2795,0.9996,1.0708,10.4167,9.4121,10.1345,1.0016,1.0009,1.0013,1.4917,1.705,2.011,,,,,,,
2026-05-19 16:42:22,119217.0078,47229.875,39747.5938,33057.5664,-18734.2129,-1932.6855,-11774.2568,-4286.9072,0.971,0.991,0.9471,0.9736,126454.1953,48806.9883,42047.8203,33591.8398,420.3898,422.1051,419.8605,419.2243,242.7771,243.2256,243.4454,241.6947,171.0099,195.7067,179.8458,146.1091,49.9036,97649.3281,98160.3047,777.8038,-6458.7432,0,0,0,0,0.9948,138.8451,0,0,27.0817,1.6275,0.9199,1.4332,11.6922,18.5633,16.0031,0,0,0.9902,0.999,0.964,0.9905,1496.8682,213843968,0,0,0,0,241.5521,120.3583,-2.5625,-15.3051,-7.8699,-0.1496,-0.1837,0.3156,-14.9238,-3.5165,17.6433,0,0,423.6816,235.3525,250.703,219.3341,284.4715,0.0108,50.1582,49.3482,188810.375,16.7429,32838.25,-0.0259,188838.8125,17.2245,0.0,-0.8164,1.6623,1.1549,1.4331,11.2907,15.3373,18.295,1.0033,1.0061,1.0018,1.4385,1.9575,2.0955,,,,,,,
2026-05-19 16:44:43,130081.5469,46230.4844,35849.8438,35428.0312,15228.8486,5538.4702,2094.4346,9032.126,-0.982,-0.9884,-0.9906,-0.9676,118376.2891,46488.7383,35984.5039,36226.2188,420.9906,422.8939,420.5668,419.6183,243.1719,243.6724,243.7074,242.0301,165.9047,193.8687,146.1707,148.5748,49.8897,102305.1406,102855.9844,1022.3398,-6786.9976,0,0,0,0,0.9946,145.407,0,0,0.0,1.6561,0.816,1.6908,9.1601,11.6182,11.0005,0,0,-0.9909,-0.9911,-0.9985,-0.9712,1496.8362,223084544,0,0,0,0,241.8938,120.8042,7.5244,3.3927,14.9035,-0.2433,-0.3586,0.7321,-17.4586,9.1308,8.3278,0,0,424.6748,235.3525,250.703,219.3341,284.4715,0.0108,50.1582,49.3482,188810.375,16.7429,32838.25,-0.0259,188838.8125,17.2245,0.999,-0.8164,1.2036,0.724,1.2191,9.0382,11.2865,14.6591,1.0033,1.0009,1.0013,1.3425,1.6802,1.5276,,,,,,,
2026-05-19 16:47:04,161537.0781,58587.2422,52395.4727,43940.2578,-22652.4824,-2252.5815,-13257.2061,-6118.3896,0.9801,0.9945,0.9554,0.9817,154619.8281,57990.9805,53384.7266,43632.2812,421.4554,423.4875,421.0288,419.9402,243.3829,243.9216,244.3098,242.1678,213.6767,237.6923,221.8404,181.4828,49.9629,107795.7266,108373.6797,1340.8738,-6971.1362,0,0,0,0,0.9947,153.0322,0,0,26.2461,1.0983,1.0114,1.2228,6.25,8.1081,13.2629,0,0,0.9901,0.999,0.9718,0.9914,1499.0325,232325120,0,0,0,0,241.0561,119.8716,-2.7971,-15.0873,-7.861,-0.2079,-0.3445,0.5396,-11.9998,-2.9813,14.3317,0,0,424.6748,235.3525,250.703,219.3341,284.4715,0.0108,50.1582,49.3482,188810.375,16.7429,32838.25,-0.0259,188838.8125,17.2245,0.999,-0.8164,1.4558,1.1551,1.218,6.1224,10.5263,12.8692,1.0006,1.007,1.0009,1.6026,2.0732,1.5657,,,,,,,
2026-05-19 16:49:25,104518.4219,42243.1172,34494.3594,27022.1719,1038.4575,5615.7993,-4116.5503,2680.5188,-0.983,-0.9856,0.9785,-0.987,103340.5938,42245.0508,34482.2305,27009.3477,422.2837,424.4352,422.203,420.332,243.6591,244.34,244.6578,242.0368,140.7586,169.9061,141.7584,114.6823,49.9502,113498.7031,114121.3438,1369.6604,-7200.3159,0,0,0,0,0.9948,160.9172,0,0,26.4399,0.8415,0.5909,1.1322,10.9708,15.5966,17.9069,0,0,0.999,-0.9945,0.9829,0.999,1498.5258,241631232,0,0,0,0,241.4209,121.9244,6.551,-10.1868,2.783,-0.1593,-0.2904,0.4497,-22.2086,1.0333,19.526,0,0,424.6748,235.3525,250.703,219.3341,284.4715,0.0108,50.1582,49.3482,188810.375,16.7429,32838.25,-0.0259,188838.8125,17.2245,0.999,-0.8164,1.2473,0.5563,1.1668,12.6846,15.0094,16.4725,1.0002,1.0011,1.0013,1.4774,1.9379,2.3914,,,,,,,
2026-05-19 16:51:46,116639.875,47076.8945,35131.7852,28809.627,2217.2288,5380.1172,-4755.854,1939.5629,-0.9837,-0.9874,0.983,-0.9859,105478.875,42775.0938,34948.2305,28791.8555,422.8037,424.875,422.459,421.324,244.2139,244.7008,244.9103,243.0252,142.1304,177.6458,147.8097,121.1823,49.9188,117724.7031,118366.0625,1404.6562,-7447.8501,0,0,0,0,0.9948,166.8318,0,0,25.4442,1.2601,0.912,1.4123,9.6814,12.9866,13.8754,0,0,-0.9986,-0.9897,0.9946,-0.9939,1497.271,250871808,0,0,0,0,241.5241,120.9858,7.4236,-6.335,5.7178,-0.1279,-0.2836,0.7368,-20.5447,1.5625,19.171,0,0,424.9443,235.3525,250.703,219.3341,284.4715,0.0108,50.1582,49.3482,188810.375,16.7429,32838.25,-0.0259,188838.8125,17.2245,0.999,-0.8164,1.676,0.8155,1.5244,7.5902,12.0597,12.859,1.0076,1.0036,1.0017,1.2801,1.7353,1.9236,,,,,,,
2026-05-19 16:54:08,101743.0781,42652.0039,29838.1445,29803.9258,15260.7217,5975.9736,1261.4961,8691.9932,-0.9687,-0.9793,-0.9823,-0.9555,103099.1094,42187.4531,29921.2637,30475.6699,422.6415,424.2124,422.5479,420.7597,243.6534,244.3169,244.6672,242.1083,140.815,170.6149,119.6827,126.495,49.9251,121804.8594,122613.3047,2483.5579,-7447.8501,0,0,0,0,0.9936,172.7018,0,0,28.2704,1.3282,1.0121,1.4711,11.2415,14.1419,13.5605,0,0,-0.9856,-0.9883,-0.9987,-0.9588,1497.8961,260112384,0,0,0,0,241.4704,119.9604,8.1723,3.6659,16.1542,-0.1469,-0.2191,0.3714,-21.4473,13.336,8.4884,0,0,424.9443,235.3525,250.703,219.3341,284.4715,0.0108,50.1582,49.3482,188810.375,16.7429,47725.9883,-0.0259,188838.8125,17.2245,0.999,-0.8164,1.3758,0.913,1.4599,12.6313,15.9366,15.0395,1.0006,1.0031,1.0012,1.5073,2.1139,1.8778,,,,,,,
2026-05-19 16:56:29,136070.6875,52969.7344,45225.0234,37283.1562,-20364.6562,-1062.7184,-12627.1816,-5117.3706,0.9786,0.9959,0.957,0.9804,135091.5469,52380.2461,46348.9375,37173.8047,424.8749,426.6474,424.3862,423.8125,245.2872,245.7688,245.8409,244.1289,184.0957,214.7953,190.5483,155.8462,49.9443,126295.9375,127145.125,2694.4116,-7696.2495,0,0,0,0,0.9936,179.0034,0,0,0.0,1.3593,1.1346,1.1505,9.5142,12.8245,17.4874,0,0,0.9871,0.9987,0.9557,0.9841,1498.4133,269352960,0,0,0,0,240.2058,120.1088,-3.9707,-16.0422,-9.089,-0.2084,-0.2653,0.4757,-13.4199,-1.2926,15.3879,0,0,426.9864,235.3525,250.703,219.3341,284.4715,0.0108,50.1582,49.3482,188810.375,16.7429,47725.9883,-0.0259,188838.8125,17.2245,0.999,-0.8164,1.0222,1.2127,1.0722,6.6667,12.4899,13.7716,1.0055,1.005,1.0009,1.724,1.8085,1.8741,,,,,,,
